name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"14.6689,121.0277",2025-01-11T21:00:00,26.7,28.9,22.2,76.04,0,0,,0,0,34.6,13.5,94,1015.4,82.7,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-11T22:00:00,25.7,25.7,22,79.94,0,0,,0,0,33.1,14.6,93,1015.4,72.8,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-11T23:00:00,25.2,25.2,20.3,74.3,0.013,100,rain,0,0,50.4,4.1,44,1015.6,89.8,8.2,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T00:00:00,25.7,25.7,22.6,82.78,0,0,,0,0,31,20,63,1014.9,89,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T01:00:00,25.9,25.9,21.9,78.63,0,0,,0,0,29.5,16.1,17,1014.8,45.5,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T02:00:00,24.2,24.2,20.7,80.4,0,0,,0,0,28.1,3.8,300,1014,90,8.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T03:00:00,25.7,25.7,19.7,69.41,0,0,,0,0,31.3,19.4,26,1012.9,86.6,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T04:00:00,24.7,24.7,20.6,77.96,0,0,,0,0,32.4,14.1,26,1012.9,85.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T05:00:00,24.2,24.2,20.7,80.91,0.005,100,rain,0,0,32.8,3.8,52,1013.5,89.5,8.2,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T06:00:00,24.9,24.9,21.7,82.17,0,0,,0,0,32.4,12.2,7,1012.7,71.6,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T07:00:00,25,25,21.8,82.83,0,0,,0,0,32.8,13.5,360,1013.4,72,12.1,35,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T08:00:00,25.7,25.7,20.1,71.42,0,0,,0,0,29.9,10.8,49,1015.2,88.3,9.1,140,0.5,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T09:00:00,27.5,29.7,21.4,69.38,0,0,,0,0,28.1,13.8,28,1014.4,72.8,12.1,304,1.1,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T10:00:00,27.6,29.7,21.2,68.41,0,0,,0,0,37.4,13.7,22,1014.4,71.6,12.1,179,0.6,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T11:00:00,27.6,29.5,20.9,66.96,0.003,100,rain,0,0,37.8,10.4,4,1014.8,90,9.1,349,1.3,3,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T12:00:00,27.8,30.4,22,70.91,0,0,,0,0,39.6,12.7,75,1014.1,89,12.1,130,0.5,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T13:00:00,28.6,31.4,21.9,67.38,0,0,,0,0,36.4,10.9,142,1013.3,89,12.1,195,0.7,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T14:00:00,29.5,31.5,20.2,57.33,0,0,,0,0,33.5,10.7,48,1012.5,89.9,9.1,162,0.6,2,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T15:00:00,27.8,29.7,20.6,65.13,0,0,,0,0,37.1,8.8,69,1012.3,86.6,12.1,97,0.3,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T16:00:00,28.3,30.6,21.1,64.81,0,0,,0,0,34.9,15.4,89,1012.3,86.6,12.1,88,0.3,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T17:00:00,26.7,28.4,20.9,70.33,0,0,,0,0,33.8,4.3,68,1013,99.1,8.2,42,0.2,0,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T18:00:00,27,29,21.4,71.67,0,0,,0,0,34.6,11.7,62,1013.1,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T19:00:00,27,28.8,21,69.73,0,0,,0,0,34.2,9.3,78,1013,98.7,10,0,0,0,,Overcast,cloudy,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T20:00:00,25.6,25.6,20.5,73.43,0.013,100,rain,0,0,37.1,4.3,55,1014.4,100,7.3,0,0,0,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-12T21:00:00,25,25,22.9,88.14,0,0,,0,0,39.2,3.7,340,1015,99.7,10,0,0,0,,Overcast,cloudy,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T22:00:00,25.6,25.6,24,90.81,0,0,,0,0,41.4,2.1,9,1014.3,81.3,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-12T23:00:00,23.9,23.9,21.3,85.18,0.202,100,rain,0,0,47.2,7.1,42,1014.6,62.1,7.3,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T00:00:00,25,25,22.9,88.41,0,0,,0,0,46.1,2,360,1014,89,10,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T01:00:00,25,25,21.9,83.32,0,0,,0,0,44.3,8.3,241,1014.3,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T02:00:00,25,25,21.9,83.32,0,0,,0,0,43.2,7,241,1013.5,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T03:00:00,25,25,21.9,83.32,0,0,,0,0,37.1,6.7,214,1012.5,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T04:00:00,25,25,21.9,83.32,0,0,,0,0,37.1,3.7,360,1012.1,89,10,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T05:00:00,23.5,23.5,20.9,85.7,0.007,100,rain,0,0,38.9,0.7,314,1012.5,62.1,7.3,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T06:00:00,26.8,29.5,23.6,82.9,0,0,,0,0,38.9,10.3,276,1013.9,89,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T07:00:00,26.4,26.4,22.1,77.29,0,0,,0,0,38.2,8.2,271,1013.3,78.1,12.1,44,0.2,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T08:00:00,25.8,25.8,21.2,75.69,0,0,,0,0,38.5,7.1,36,1014.6,89.6,8.2,99,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T09:00:00,27,29.2,22.2,75.31,0,0,,0,0,38.5,7,260,1014.8,72.8,12.1,237,0.9,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T10:00:00,28.5,31.5,22.2,68.84,0,0,,0,0,37.4,3.7,268,1015.1,72.8,12.1,203,0.7,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T11:00:00,28.8,30.8,20.5,60.6,0.007,100,rain,0,0,37.4,7.9,71,1014.3,90.2,9.1,271,1,3,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T12:00:00,27.7,29.6,20.8,66.06,0,0,,0,0,41.4,14.2,94,1015.1,78.1,12.1,221,0.8,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T13:00:00,28,31.2,22.9,73.96,0,0,,0,0,44.3,14.1,72,1013.7,75.4,12.1,233,0.8,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T14:00:00,28.8,31.3,21.2,63.41,0,0,,0,0,36,11.4,41,1012,89.8,8.2,247,0.9,2,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T15:00:00,29.3,31.9,21.3,62.2,0,0,,0,0,41.8,22.2,41,1012.7,75.4,12.1,273,1,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T16:00:00,29.3,31.7,21,60.9,0,0,,0,0,34.9,21.9,53,1011.7,75.4,12.1,63,0.2,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T17:00:00,27.7,29.6,20.7,65.63,0,0,,0,0,32.4,8.2,87,1012,80,8.2,32,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T18:00:00,27.9,30,21,65.86,0,0,,0,0,32.4,13,78,1012.1,89,10,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T19:00:00,27.7,30,21.6,69.31,0,0,,0,0,33.5,11.3,48,1013.3,75.4,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T20:00:00,25.7,25.7,20.9,74.58,0,0,,0,0,31.7,4,26,1014.4,89.2,7.3,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-13T21:00:00,26.2,26.2,22.4,79.49,0,0,,0,0,30.6,7.9,78,1015.1,88.8,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T22:00:00,26.4,26.4,22.5,79.01,0,0,,0,0,29.5,13.1,72,1015.3,86,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-13T23:00:00,25.2,25.2,20.8,76.23,0.007,100,rain,0,0,27.7,0.6,266,1014.9,81,7.3,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T00:00:00,26.4,26.4,22,76.88,0,0,,0,0,25.9,14.6,52,1015.3,99.8,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T01:00:00,26.4,26.4,21.9,76.38,0,0,,0,0,22.7,14.6,52,1014.5,99.8,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T02:00:00,24.7,24.7,20.8,78.82,0,0,,0,0,22.7,0.1,4,1013.6,80.9,7.3,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T03:00:00,26.4,26.4,22.1,77.2,0,0,,0,0,28.1,15.6,53,1013.1,99.8,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T04:00:00,26.4,26.4,22.1,77.2,0,0,,0,0,27.4,17.4,52,1012.8,88.8,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T05:00:00,24.2,24.2,20.7,80.66,0.007,100,rain,0,0,28.1,0.4,92,1013.5,61.8,7.3,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T06:00:00,26.4,26.4,22.9,81.29,0,0,,0,0,28.4,16.5,110,1013.4,91.5,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T07:00:00,26.4,26.4,22.9,81.39,0,0,,0,0,27.4,20.4,102,1013.7,91.5,12.1,23,0.1,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T08:00:00,24.8,24.8,22.4,86.56,0,0,,0,0,25.6,3.8,284,1015.4,90,8.2,112,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T09:00:00,29.3,32.9,22.7,68,0,0,,0,0,23.4,22,83,1015.4,89,12.1,279,1,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T10:00:00,27.9,31.2,23,74.58,0,0,,0,0,38.9,26.2,93,1015.4,89,12.1,225,0.8,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T11:00:00,27.3,30.3,23.3,78.73,0.027,100,rain,0,0,36,8.8,202,1015.7,99.1,8.1,304,1.1,3,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T12:00:00,28.5,31.7,22.5,69.94,0,0,,0,0,33.8,17.7,98,1015.1,83.6,12.1,300,1.1,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T13:00:00,29.3,32.8,22.5,66.98,0,0,,0,0,36,14.9,112,1014.3,83.6,12.1,305,1.1,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T14:00:00,30.1,34.4,23.2,66.72,0,0,,0,0,38.2,7.3,44,1012.7,99.1,8.2,321,1.2,3,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T15:00:00,29.1,33.3,23.4,71.41,0,0,,0,0,38.5,8.6,81,1012.5,88.8,12.1,185,0.7,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T16:00:00,28.3,31.8,23,72.93,0,0,,0,0,30.2,12.5,70,1012.5,89,12.1,72,0.3,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T17:00:00,28.3,31.5,22.6,71.11,0,0,,0,0,24.8,7.5,20,1012,90.2,8.2,18,0.1,0,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T18:00:00,27.8,31.3,23.6,78.28,0,0,,0,0,26.6,18.4,101,1013.1,91.3,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T19:00:00,27.5,30.5,23,76.46,0,0,,0,0,25.6,19.7,90,1013.1,90.5,12.1,0,0,0,,Overcast,cloudy,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T20:00:00,27.2,29.8,22.7,76.76,0,0,,0,0,23,7.4,9,1014.1,98.8,7.3,0,0,0,,Overcast,cloudy,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-14T21:00:00,27,30,23.9,83.55,0,0,,0,0,20.5,11.1,57,1015,89,10,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T22:00:00,27.2,30.9,24.8,86.95,0,0,,0,0,18.7,8.4,46,1015.3,75.4,18.5,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-14T23:00:00,26.1,26.1,23.4,85.08,0.007,100,rain,0,0,18.7,4.2,72,1014.9,90.2,7.3,0,0,0,,"Rain, Overcast",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T00:00:00,26.9,30,23.9,83.55,0,0,,0,0,18.7,9.2,96,1014.1,51,10,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T01:00:00,27.4,29.5,21.4,69.74,0,0,,0,0,17.3,8.2,87,1014.7,30.9,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T02:00:00,25.2,25.2,23.1,88.24,0,0,,0,0,16.6,3.6,44,1013.6,39.4,7.3,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T03:00:00,26,26,23.9,88.49,0,0,,0,0,15.1,8.1,193,1013.1,35,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T04:00:00,26.3,26.3,25.4,95.11,0,0,,0,0,14.4,6.8,201,1012.6,44,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T05:00:00,23.7,23.7,22.6,93.24,0,0,,0,0,16.2,0.3,87,1013.5,12.1,7.3,0,0,0,,Clear,clear-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T06:00:00,26,26,22.9,83.44,0,0,,0,0,18,7.6,19,1013,28.9,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T07:00:00,26.1,26.1,25.2,95.1,0,0,,0,0,18.7,7,161,1014.7,38.7,12.1,50,0.2,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T08:00:00,25.2,25.2,23.8,92.24,0,0,,0,0,18.7,0.4,71,1014.9,87.1,8.2,105,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T09:00:00,28.9,32.6,23,70.31,0,0,,0,0,18.4,7.6,107,1015,28.9,9.9,395,1.4,4,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T10:00:00,29.5,34.2,23.8,71.56,0,0,,0,0,25.2,13.3,37,1015.1,25.5,12.1,335,1.2,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T11:00:00,30.8,34.7,22.5,61.22,0,0,,0,0,27.4,7.4,24,1014.5,86.2,8.2,629,2.3,6,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T12:00:00,29.3,34,23.8,72.37,0,0,,0,0,30.2,10.3,263,1014.3,27.9,12.1,117,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T13:00:00,29.4,33.5,23.3,70.01,0,0,,0,0,29.2,10.2,253,1013.5,30.1,12.1,40,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T14:00:00,30.2,33.9,22.4,62.81,0,0,,0,0,32.8,7.3,58,1012.1,89.9,8.2,118,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T15:00:00,29.4,33.5,23.3,69.93,0,0,,0,0,25.9,10.7,73,1011.7,74.6,12.1,125,0.5,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T16:00:00,29.4,33.2,22.9,68.31,0,0,,0,0,18.7,8.4,67,1011.5,79.9,12.1,73,0.3,1,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T17:00:00,28.8,32,22.3,67.77,0,0,,0,0,16.6,7.4,18,1012.3,90,8.2,36,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T18:00:00,28.5,32.2,23.2,72.69,0,0,,0,0,15.8,10.6,138,1012.3,72,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T19:00:00,27.8,31.5,23.9,79.7,0,0,,0,0,17.6,11.2,131,1013.3,77,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T20:00:00,26.9,29.2,22.5,76.78,0,0,,0,0,18,3.9,26,1014.4,50.6,7.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-15T21:00:00,27,29.9,23.8,82.94,0,0,,0,0,17.6,10.2,98,1014.8,55.3,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T22:00:00,27.2,30.4,24.1,83.26,0,0,,0,0,16.2,11.4,46,1015.3,38.7,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-15T23:00:00,25.7,25.7,22.4,81.96,0,0,,0,0,15.5,3.7,24,1014.7,61.7,7.2,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-16T00:00:00,27.6,30.7,23.1,76.55,0,0,,0,0,17.6,9.3,9,1014.5,83.5,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T01:00:00,27.4,30.1,22.8,76.04,0,0,,0,0,18.4,8.5,9,1013.8,80.7,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T02:00:00,25.1,25.1,22.2,84.21,0.007,100,rain,0,0,18.4,0.3,51,1013.1,49.2,7.2,0,0,0,,"Rain, Partially cloudy",rain,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-16T03:00:00,26.6,26.6,22.7,79.23,0,0,,0,0,17.3,5.2,257,1012.3,32.2,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T04:00:00,26.4,26.4,22.8,80.66,0,0,,0,0,18,13.2,358,1012.1,37.5,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T05:00:00,23.5,23.5,21.7,89.95,0,0,,0,0,18.4,0.3,262,1012.3,10.5,7.2,0,0,0,,Clear,clear-night,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-16T06:00:00,25.6,25.6,24,91.02,0,0,,0,0,18.7,10.7,358,1012.9,29.7,12.1,0,0,0,,Partially cloudy,partly-cloudy-night,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T07:00:00,25.6,25.6,24,90.92,0,0,,0,0,19.4,8.6,350,1013.7,27.4,12.1,29,0.1,0,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T08:00:00,25,25,22.4,85.4,0,0,,0,0,20.9,3.5,20,1014.1,39.6,8.2,118,0.4,1,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
"14.6689,121.0277",2025-01-16T09:00:00,27.2,30.5,24,82.46,0,0,,0,0,24.5,22,292,1014.1,84.8,12.1,333,1.2,3,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T10:00:00,27.8,30.9,23,74.98,0,0,,0,0,31,16.3,317,1014.3,87.5,12.1,229,0.8,2,,Partially cloudy,partly-cloudy-day,"98429099999,C6CX3,98327099999,RPLL,E0758"
"14.6689,121.0277",2025-01-16T11:00:00,29.1,32.1,21.9,65.19,0,0,,0,0,34.6,7.2,126,1013.7,60.6,8.2,361,1.3,4,,Partially cloudy,partly-cloudy-day,"98429099999,98327099999,98428099999,RPLL,98430099999,E0758,98433099999"
