name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",1990-01-01,31,22.1,26.6,35.2,22.1,27.8,20.7,70.6,0.382,100,4.17,rain,,,,34.2,83.2,1011.1,33.1,8.2,,,,,1990-01-01T06:20:56,1990-01-01T17:37:25,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-02,31.1,21.6,26.5,37,21.6,27.7,20.2,69.4,0,0,0,,,,,34.5,284.6,1010.8,50.5,9.1,,,,,1990-01-02T06:21:18,1990-01-02T17:38:00,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-03,30.5,24,26.5,36.3,24,27.8,20.9,72,0,0,0,,,,,34.4,42.2,1011.7,62.4,10.1,,,,,1990-01-03T06:21:40,1990-01-03T17:38:35,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-04,30.3,22.1,25.9,33.4,22.1,26.6,20,70.8,0,0,0,,,,,62.6,79.2,1013,39.2,11.5,,,,,1990-01-04T06:22:00,1990-01-04T17:39:09,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-05,31,21.7,26,34.4,21.7,26.8,19.8,69.9,0,0,0,,,,,63,81.1,1012.9,28.8,11,,,,,1990-01-05T06:22:20,1990-01-05T17:39:44,0.29,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-06,30,22.1,26.2,33.7,22.1,27.2,20.3,70.8,0,0,0,,,,,70.1,78.2,1013.3,53.2,11.6,,,,,1990-01-06T06:22:38,1990-01-06T17:40:19,0.32,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-07,30.9,22.1,26.1,32.3,22.1,26.8,19.6,68.2,0,0,0,,,,,70.2,80.6,1014.3,55.1,12.6,,,,,1990-01-07T06:22:56,1990-01-07T17:40:55,0.36,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-08,30,20.7,25.7,33.3,20.7,26.5,20.2,72.3,0,0,0,,,,,62.7,86.3,1013.3,47,10.1,,,,,1990-01-08T06:23:13,1990-01-08T17:41:30,0.39,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-09,30.1,22.2,26.4,34,22.2,28,21.6,75.4,0,0,0,,,,,55.6,79.8,1013.1,62.2,10.4,,,,,1990-01-09T06:23:28,1990-01-09T17:42:05,0.43,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-10,31.1,23.1,26.9,36.6,23.1,29.1,22.8,78.7,1,100,4.17,rain,,,,48.5,85.5,1011.1,48.4,11,,,,,1990-01-10T06:23:43,1990-01-10T17:42:40,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-11,33,21.7,27.4,40.5,21.7,29.3,21.6,72.1,0,0,0,,,,,62.6,85.7,1011.8,36.4,11.6,,,,,1990-01-11T06:23:56,1990-01-11T17:43:15,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-12,32,24.1,27.3,37.9,24.1,29.1,22.5,76.2,0.961,100,4.17,rain,,,,62.7,94.3,1012.1,65.1,12,,,,,1990-01-12T06:24:09,1990-01-12T17:43:50,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-13,31.1,21.2,26.8,35.7,21.2,28.4,21.7,74.3,0,0,0,,,,,63.1,90.8,1010.3,52.6,11.7,,,,,1990-01-13T06:24:20,1990-01-13T17:44:25,0.56,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-14,30.8,22.1,26.8,35.1,22.1,28.2,21.5,73.3,0,0,0,,,,,59.1,87.8,1010.2,48.9,12.6,,,,,1990-01-14T06:24:31,1990-01-14T17:45:00,0.59,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-15,31,21.7,27.3,39,21.7,29.4,22.2,74.3,0,0,0,,,,,69.8,86.9,1010,49,10.9,,,,,1990-01-15T06:24:40,1990-01-15T17:45:35,0.63,Partially cloudy,Partly cloudy throughout the day.,wind,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-16,31.1,22.1,26.9,35,22.1,28.4,21.5,73,0,0,0,,,,,29,16,1010.4,54.2,10.5,,,,,1990-01-16T06:24:48,1990-01-16T17:46:09,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-17,30.1,21.1,25.7,33.3,21.1,26.6,21.2,77.2,0,0,0,,,,,70.3,84.3,1009.6,45.3,11.6,,,,,1990-01-17T06:24:55,1990-01-17T17:46:43,0.69,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-18,29.1,20.4,25.4,31.9,20.4,26.3,20.4,75,0,0,0,,,,,56,82.7,1010.5,48.2,12.5,,,,,1990-01-18T06:25:01,1990-01-18T17:47:17,0.72,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-19,30,19.2,25.3,33.2,19.2,26.1,19.3,70.1,0.3,100,4.17,rain,,,,55.9,87.8,1011.9,47.8,11,,,,,1990-01-19T06:25:05,1990-01-19T17:47:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-20,29.1,18.9,24.8,30.7,18.9,25.2,19.2,72,0,0,0,,,,,55.6,77,1011.8,30.1,12.1,,,,,1990-01-20T06:25:09,1990-01-20T17:48:24,0.79,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-21,30.1,19.1,24.8,32.3,19.1,25.3,18.9,70.9,0,0,0,,,,,48.5,73.4,1012.5,33.5,11.1,,,,,1990-01-21T06:25:11,1990-01-21T17:48:57,0.82,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-22,29,21.2,25.5,32.6,21.2,26.8,20.9,76.3,0.135,100,8.33,rain,,,,34.5,15.9,1011.6,53.7,9.9,,,,,1990-01-22T06:25:13,1990-01-22T17:49:29,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-23,29.5,22.1,25.6,34,22.1,26.5,21.6,78.9,0.618,100,8.33,rain,,,,34.3,34.8,1010.8,75.1,9,,,,,1990-01-23T06:25:13,1990-01-23T17:50:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-24,29.1,22.1,25.8,30.8,22.1,26.3,20.3,72.7,1.007,100,8.33,rain,,,,62.8,71.1,1011.2,59.5,10.5,,,,,1990-01-24T06:25:12,1990-01-24T17:50:33,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-25,29.1,23,25.8,32,23,26.5,20.1,71.2,4.949,100,12.5,rain,,,,25.3,22.4,1013,63.7,9.1,,,,,1990-01-25T06:25:10,1990-01-25T17:51:05,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999"
"14.65, 121.05",1990-01-26,28,23.4,25.4,28.9,23.4,25.5,20.7,75.6,5.271,100,16.67,rain,,,,48.7,63.1,1013.6,76.6,9.1,,,,,1990-01-26T06:25:06,1990-01-26T17:51:35,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-27,31,23,26.2,35.4,23,27.6,21.8,77.7,0.034,100,4.17,rain,,,,28.6,3.5,1012.6,58.7,9.2,,,,,1990-01-27T06:25:02,1990-01-27T17:52:06,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-28,31.1,24.1,27,35.5,24.1,28.8,22.5,77.1,0.71,100,4.17,rain,,,,34,81,1013.3,49.2,9.4,,,,,1990-01-28T06:24:56,1990-01-28T17:52:36,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,98327099999,98428041224,98434099999"
"14.65, 121.05",1990-01-29,32.1,24.1,27.6,39.1,24.1,30.3,23.3,78.1,0,0,0,,,,,41.3,91.7,1012.8,39.6,11,,,,,1990-01-29T06:24:50,1990-01-29T17:53:05,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-30,33.1,24.1,27.9,38.5,24.1,30.6,23.1,75.9,0,0,0,,,,,34.1,90.8,1012.5,49,10.3,,,,,1990-01-30T06:24:42,1990-01-30T17:53:34,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-01-31,31.8,22.6,27.1,37.9,22.6,29.2,22.1,75.2,0,0,0,,,,,40.8,89.3,1012.2,44.6,10.9,,,,,1990-01-31T06:24:33,1990-01-31T17:54:03,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-01,32,22.4,27,36.5,22.4,28.5,22,74.9,0,0,0,,,,,62.8,93.3,1013,37.7,11.9,,,,,1990-02-01T06:24:23,1990-02-01T17:54:31,0.19,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-02,31.9,23.1,27.5,40.4,23.1,30.2,23.2,77.6,0.3,100,4.17,rain,,,,69.7,86.7,1014,48,10.8,,,,,1990-02-02T06:24:11,1990-02-02T17:54:58,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-03,32.3,24.1,27.8,39.9,24.1,30.1,22.6,74.2,0,0,0,,,,,62.7,90.1,1014,40.1,12.3,,,,,1990-02-03T06:23:59,1990-02-03T17:55:25,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-04,31.6,21.6,26.9,38.8,21.6,28.9,22.4,76.8,0,0,0,,,,,62.6,84.9,1013.6,41.8,12.1,,,,,1990-02-04T06:23:45,1990-02-04T17:55:51,0.3,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-05,33,22.1,27.6,39.8,22.1,29.7,22,72.2,0,0,0,,,,,63,85,1013.9,41.3,11.6,,,,,1990-02-05T06:23:31,1990-02-05T17:56:17,0.33,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-06,32,22.1,27.7,36.7,22.1,29.4,21.4,69.7,0.009,100,4.17,rain,,,,63.1,87.6,1016.9,37.4,11.4,,,,,1990-02-06T06:23:15,1990-02-06T17:56:42,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-07,32.1,24,27.1,35.7,24,28.2,20.8,69.3,0.38,100,8.33,rain,,,,70.1,82.1,1016.7,56.9,10.6,,,,,1990-02-07T06:22:59,1990-02-07T17:57:06,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-08,32,22.9,26.7,34.8,22.9,27.7,20.4,69.7,0,0,0,,,,,62.8,74,1016.1,46.6,11.4,,,,,1990-02-08T06:22:41,1990-02-08T17:57:30,0.44,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-09,31.1,25,27.6,34.9,25,29.2,21.2,68.7,0,0,0,,,,,70.2,87.9,1016.3,58.5,11.2,,,,,1990-02-09T06:22:22,1990-02-09T17:57:54,0.48,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98430099999,98425099999"
"14.65, 121.05",1990-02-10,32,23.1,27.1,34.9,23.1,27.9,20.8,69.3,0,0,0,,,,,70.2,84.9,1017.2,43.3,13.3,,,,,1990-02-10T06:22:03,1990-02-10T17:58:17,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1990-02-11,32.1,21.6,27,40,21.6,28.6,20.8,69.7,0,0,0,,,,,62.4,88.1,1015.9,21,12.4,,,,,1990-02-11T06:21:42,1990-02-11T17:58:39,0.54,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98327099999,98428041224,98434099999,98430099999,98425099999"
