name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",1992-01-01,30.1,20.2,25.6,34.3,20.2,26.8,20.8,75.4,0.005,100,4.17,rain,,,,35.3,74.1,1014.6,44.5,8.4,,,,,1992-01-01T06:20:45,1992-01-01T17:37:09,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-02,30.6,20.1,25.5,34.3,20.1,26.7,21.1,77.9,0,0,0,,,,,57.6,79.6,1014.4,35.4,11.3,,,,,1992-01-02T06:21:08,1992-01-02T17:37:43,0.9,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-03,33.1,21.1,26.5,36.9,21.1,27.8,20.9,73,0,0,0,,,,,72.4,80.4,1016.1,36.1,10.9,,,,,1992-01-03T06:21:29,1992-01-03T17:38:18,0.94,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-04,32.1,22.1,26.7,36.9,22.1,27.8,20.4,69.6,0,0,0,,,,,64.8,91.7,1014.8,43.9,11.2,,,,,1992-01-04T06:21:50,1992-01-04T17:38:53,0.97,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-05,29.1,21.6,25.2,33.7,21.6,26.1,21.6,80.8,0.75,100,4.17,rain,,,,35.3,77.4,1012.7,57.3,10.5,,,,,1992-01-05T06:22:10,1992-01-05T17:39:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-06,29.6,21.1,25.7,33.4,21.1,27,21.3,77.2,2,100,4.17,rain,,,,29.5,353.4,1013.8,56.8,10.3,,,,,1992-01-06T06:22:29,1992-01-06T17:40:03,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-07,30.1,20.9,25.3,33.4,20.9,26.3,21.2,79,1,100,4.17,rain,,,,64.8,72.8,1013.3,73.8,9.8,,,,,1992-01-07T06:22:47,1992-01-07T17:40:38,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-08,31.1,22.1,26.1,36.7,22.1,27.4,22.2,80.3,0,0,0,,,,,42.5,86,1013.2,54.2,10.5,,,,,1992-01-08T06:23:05,1992-01-08T17:41:13,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-09,31.1,21.6,26.5,34.2,21.6,27.9,21.3,74.2,0,0,0,,,,,50,81,1014,33.5,11.5,,,,,1992-01-09T06:23:21,1992-01-09T17:41:48,0.14,Partially cloudy,Partly cloudy throughout the day.,wind,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
"14.65, 121.05",1992-01-10,30.1,20.9,25.3,32.6,20.9,26.1,21.1,78.6,2,100,4.17,rain,,,,35.3,37.7,1015,57.5,10,,,,,1992-01-10T06:23:36,1992-01-10T17:42:23,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98428041224,98434099999,98430099999,98425099999"
