name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2009-01-01,29.1,22.9,26,34.7,22.9,27.1,23,84.2,8.632,100,12.5,rain,,,,14.8,68.7,1010.7,91.9,8.4,,,,,2009-01-01T06:21:02,2009-01-01T17:37:36,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,98327599999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-02,28,21.6,25.2,31,21.6,25.6,21.1,78.8,1,100,4.17,rain,,,,24.4,54.1,1013.4,85.1,9.1,,,,,2009-01-02T06:21:24,2009-01-02T17:38:11,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"98432099999,98429099999,98327099999,98428099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-03,28,20.2,24.3,30.5,20.2,24.5,20.9,81.8,0,0,0,,,,,18.2,94.5,1013.4,67.6,10,,,,,2009-01-03T06:21:45,2009-01-03T17:38:45,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-04,29.1,18.2,24.2,32.1,18.2,25,20.2,79.1,0,0,0,,,,,11.4,14.8,1012.3,65.9,9.7,,,,,2009-01-04T06:22:05,2009-01-04T17:39:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-05,31.1,19.2,25.2,33.8,19.2,25.9,20.8,78,0,0,0,,,,,15.6,60.9,1011.1,79.6,8.6,,,,,2009-01-05T06:22:24,2009-01-05T17:39:55,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-06,30.3,21.1,26,34.3,21.1,27.3,21.8,78.5,0,0,0,,,,,13.3,289.4,1010.4,80.4,9.1,,,,,2009-01-06T06:22:42,2009-01-06T17:40:30,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-07,30.1,23.1,25.7,36.1,23.1,26.7,23.1,86.2,2.8,100,12.5,rain,,,,11.4,23,1010.9,86,8.4,,,,,2009-01-07T06:22:59,2009-01-07T17:41:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-08,26,23.7,24.8,26,23.7,24.8,23.5,92.7,11.5,100,16.67,rain,,,,11.3,38.1,1011.7,91.4,8.1,,,,,2009-01-08T06:23:16,2009-01-08T17:41:41,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-09,28.1,22.6,25.6,32.7,22.6,26.4,23.5,89.1,3.8,100,4.17,rain,,,,12.9,147.2,1011.9,93.7,8.3,,,,,2009-01-09T06:23:31,2009-01-09T17:42:16,0.43,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2009-01-10,29.9,23,25.7,34.7,23,26.6,21.7,79.1,0.181,100,8.33,rain,,,,29.1,79.3,1012.2,71.6,9.8,,,,,2009-01-10T06:23:45,2009-01-10T17:42:51,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
