name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"14.65, 121.05",2006-01-01,31,22.1,26.9,36.4,22.1,29.5,23.4,81.5,3,100,4.17,rain,,,,16.5,102.8,1012.3,58.7,8.7,,,,,2006-01-01T06:20:57,2006-01-01T17:37:27,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2006-01-02,29,24.4,26.5,34,24.4,28.2,23.9,85.4,1,100,4.17,rain,,,,11.5,98.3,1012.3,71.5,8.8,,,,,2006-01-02T06:21:19,2006-01-02T17:38:02,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2006-01-03,30.1,22.7,26.5,35,22.7,28,22.6,79.7,0,0,0,,,,,18.4,102,1012.1,49,9.2,,,,,2006-01-03T06:21:40,2006-01-03T17:38:37,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-04,31,21.7,26.5,35.4,21.7,28.3,22.1,77.8,0,0,0,,,,,18.1,105.6,1011.6,43.3,9.2,,,,,2006-01-04T06:22:00,2006-01-04T17:39:11,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-05,31.6,21.9,26.4,37.6,21.9,27.9,22.2,78.7,0,0,0,,,,,14.8,108.1,1012.3,66,9,,,,,2006-01-05T06:22:20,2006-01-05T17:39:46,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-06,29.1,20.9,25.3,32.1,20.9,26.2,21.4,79.2,0.006,100,4.17,rain,,,,25.9,105.5,1013.2,60.1,9.8,,,,,2006-01-06T06:22:38,2006-01-06T17:40:21,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-07,28,20.1,24.5,30.8,20.1,25,21.2,82,0,0,0,,,,,11.2,98.2,1013.4,56.1,8.7,,,,,2006-01-07T06:22:56,2006-01-07T17:40:57,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-08,29,20.1,24.4,31.9,20.1,25.2,21.2,82.9,0,0,0,,,,,18.4,91.7,1013.5,48.6,9,,,,,2006-01-08T06:23:12,2006-01-08T17:41:32,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98425099999"
"14.65, 121.05",2006-01-09,28.6,20.9,24.7,30.7,20.9,24.9,20.8,79.8,0.24,100,4.17,rain,,,,14.8,2.1,1012.8,68.9,8.7,,,,,2006-01-09T06:23:28,2006-01-09T17:42:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-10,29.9,20.4,25.2,33.1,20.4,26.1,21.3,80.2,0,0,0,,,,,18.4,103.6,1012.3,56.4,9.5,,,,,2006-01-10T06:23:42,2006-01-10T17:42:42,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-11,30.3,20.2,25.8,34.4,20.2,27.1,20.8,75,0,0,0,,,,,17.9,133.6,1012.1,39.1,9.6,,,,,2006-01-11T06:23:56,2006-01-11T17:43:17,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
"14.65, 121.05",2006-01-12,31.1,19.1,25.5,35,19.1,26.9,21.1,77.8,0,0,0,,,,,17.9,120.8,1012,39.1,9.7,,,,,2006-01-12T06:24:08,2006-01-12T17:43:52,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,98327099999,98428099999,98434099999,98430099999,98433099999,98425099999"
