Model,Accuracy,Precision,Recall,F1 Score
Optimized DBN+RF,0.9177921315325895,0.9113777431382857,0.9177921315325895,0.9142896705026673
Optimized Vanilla RF,0.9994128009395185,0.9994136721547419,0.9994128009395185,0.9994128467058817
