Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
DBN+RF,0.7686435701702877,0.7620943724846341,0.7686435701702877,0.76519207503386,
Vanilla RF,0.9994128009395185,0.9994136721547419,0.9994128009395185,0.9994128467058817,0.5813560485839844
